,CPII
1921-05-31,16.768192090395484
1921-06-30,16.86346590909091
1921-07-31,16.768192090395484
1921-08-31,16.768192090395484
1921-09-30,16.959828571428574
1921-10-31,16.959828571428574
1921-11-30,17.057298850574714
1921-12-31,17.155895953757227
1922-01-31,17.561952662721897
1922-02-28,17.561952662721897
1922-03-31,17.772275449101798
1922-04-30,17.772275449101798
1922-05-31,17.772275449101798
1922-06-30,17.772275449101798
1922-07-31,17.666488095238098
1922-08-31,17.87933734939759
1922-09-30,17.87933734939759
1922-10-31,17.772275449101798
1922-11-30,17.666488095238098
1922-12-31,17.561952662721897
1923-01-31,17.666488095238098
1923-02-28,17.666488095238098
1923-03-31,17.666488095238098
1923-04-30,17.561952662721897
1923-05-31,17.561952662721897
1923-06-30,17.45864705882353
1923-07-31,17.255639534883723
1923-08-31,17.35654970760234
1923-09-30,17.255639534883723
1923-10-31,17.155895953757227
1923-11-30,17.155895953757227
1923-12-31,17.155895953757227
1924-01-31,17.155895953757227
1924-02-29,17.255639534883723
1924-03-31,17.35654970760234
1924-04-30,17.45864705882353
1924-05-31,17.45864705882353
1924-06-30,17.45864705882353
1924-07-31,17.35654970760234
1924-08-31,17.45864705882353
1924-09-30,17.35654970760234
1924-10-31,17.255639534883723
1924-11-30,17.255639534883723
1924-12-31,17.155895953757227
1925-01-31,17.155895953757227
1925-02-28,17.255639534883723
1925-03-31,17.155895953757227
1925-04-30,17.255639534883723
1925-05-31,17.155895953757227
1925-06-30,16.959828571428574
1925-07-31,16.768192090395484
1925-08-31,16.768192090395484
1925-09-30,16.768192090395484
1925-10-31,16.768192090395484
1925-11-30,16.488722222222222
1925-12-31,16.58083798882682
1926-01-31,16.58083798882682
1926-02-28,16.58083798882682
1926-03-31,16.673988764044946
1926-04-30,16.58083798882682
1926-05-31,16.673988764044946
1926-06-30,16.768192090395484
1926-07-31,16.959828571428574
1926-08-31,17.057298850574714
1926-09-30,16.959828571428574
1926-10-31,16.86346590909091
1926-11-30,16.768192090395484
1926-12-31,16.768192090395484
1927-01-31,16.959828571428574
1927-02-28,17.057298850574714
1927-03-31,17.155895953757227
1927-04-30,17.155895953757227
1927-05-31,17.057298850574714
1927-06-30,16.86346590909091
1927-07-31,17.155895953757227
1927-08-31,17.255639534883723
1927-09-30,17.155895953757227
1927-10-31,17.057298850574714
1927-11-30,17.155895953757227
1927-12-31,17.155895953757227
1928-01-31,17.155895953757227
1928-02-29,17.35654970760234
1928-03-31,17.35654970760234
1928-04-30,17.35654970760234
1928-05-31,17.255639534883723
1928-06-30,17.35654970760234
1928-07-31,17.35654970760234
1928-08-31,17.35654970760234
1928-09-30,17.155895953757227
1928-10-31,17.255639534883723
1928-11-30,17.255639534883723
1928-12-31,17.35654970760234
1929-01-31,17.35654970760234
1929-02-28,17.35654970760234
1929-03-31,17.45864705882353
1929-04-30,17.561952662721897
1929-05-31,17.45864705882353
1929-06-30,17.35654970760234
1929-07-31,17.155895953757227
1929-08-31,17.155895953757227
1929-09-30,17.155895953757227
1929-10-31,17.155895953757227
1929-11-30,17.155895953757227
1929-12-31,17.255639534883723
1930-01-31,17.35654970760234
1930-02-28,17.45864705882353
1930-03-31,17.561952662721897
1930-04-30,17.45864705882353
1930-05-31,17.561952662721897
1930-06-30,17.666488095238098
1930-07-31,17.87933734939759
1930-08-31,17.98769696969697
1930-09-30,17.87933734939759
1930-10-31,17.98769696969697
1930-11-30,18.09737804878049
1930-12-31,18.434596273291927
1931-01-31,18.666477987421384
1931-02-28,18.904267515923568
1931-03-31,19.02544871794872
1931-04-30,19.1481935483871
